Weight,time,carbohydrates,short acting injections ,Intermediate & Long Acting ,"Type of med Regular(0),Actrapid(1),HumS(2),Hum(3),Velosulin(4),VelsoR(5),Pur-In-Neutral(6),HypurinNeutral(7),NovolinR(8),Mix(9)","Type of med NPH(0),HumI(1),HumN(2),Hypurin isophane(3),isophane noh(4),NovolinN(5),Insulatard(6),Protaohane(7),Pur-In-isophane(8),Lente(9),Lentard(10),Monotard(11),HumlinL(12),HumlinLente(13),NovlinLSemitard(14),SemiLente(15),HPZ(16),HypurinLente(17),UltraLente(18),HumlinU(19),Ultratard(20),HumlinZN(21),Mix(22)","Kidney function RTG: High(1), Normal(0), Low(-1)","Kidney Function :Renal function High(1), Normal(0), Low(-1)","Insulin Sensitivities : Liver Increased(1), Normal(0), Reduced(-1)","Insulin Sensitivities : Peripheral Increased(1), Normal(0), Reduced(-1)",Glucose Limits/ Bounds : Upper Limit(10) ,Glucose Limits/ Bounds : Lower Limit(4) ,expected_glucose
70,0,0,0,0,2,1,0,0,-1,-1,10,4,11.61918383
70,0.25,0,0,0,2,1,0,0,-1,-1,10,4,11.61918383
70,0.5,0,0,0,2,1,0,0,-1,-1,10,4,11.43297494
70,0.75,0,0,0,2,1,0,0,-1,-1,10,4,11.25355303
70,1,0,0,0,2,1,0,0,-1,-1,10,4,11.07997038
70,1.25,0,0,0,2,1,0,0,-1,-1,10,4,10.9119817
70,1.5,0,0,0,2,1,0,0,-1,-1,10,4,10.74982076
70,1.75,0,0,0,2,1,0,0,-1,-1,10,4,10.59402586
70,2,0,0,0,2,1,0,0,-1,-1,10,4,10.44530434
70,2.25,0,0,0,2,1,0,0,-1,-1,10,4,10.3044287
70,2.5,0,0,0,2,1,0,0,-1,-1,10,4,10.17215873
70,2.75,0,0,0,2,1,0,0,-1,-1,10,4,10.04918514
70,3,0,0,0,2,1,0,0,-1,-1,10,4,9.936091008
70,3.25,0,0,0,2,1,0,0,-1,-1,10,4,9.833327899
70,3.5,0,0,0,2,1,0,0,-1,-1,10,4,9.741203921
70,3.75,0,0,0,2,1,0,0,-1,-1,10,4,9.659881158
70,4,0,0,0,2,1,0,0,-1,-1,10,4,9.589380334
70,4.25,0,0,0,2,1,0,0,-1,-1,10,4,9.529590749
70,4.5,0,0,0,2,1,0,0,-1,-1,10,4,9.480283799
70,4.75,0,0,0,2,1,0,0,-1,-1,10,4,9.441128654
70,5,0,0,0,2,1,0,0,-1,-1,10,4,9.411708946
70,5.25,0,0,0,2,1,0,0,-1,-1,10,4,9.391539527
70,5.5,0,0,0,2,1,0,0,-1,-1,10,4,9.380082634
70,5.75,0,0,0,2,1,0,0,-1,-1,10,4,9.376762943
70,6,0,0,0,2,1,0,0,-1,-1,10,4,9.380981212
70,6.25,0,0,0,2,1,0,0,-1,-1,10,4,9.392126335
70,6.5,0,0,0,2,1,0,0,-1,-1,10,4,9.40958573
70,6.75,0,0,0,2,1,0,0,-1,-1,10,4,9.432754086
70,7,0,0,0,2,1,0,0,-1,-1,10,4,9.461040551
70,7.25,0,0,0,2,1,0,0,-1,-1,10,4,9.493874466
70,7.5,0,0,0,2,1,0,0,-1,-1,10,4,9.530705748
70,7.75,0,3,12,2,1,0,0,-1,-1,10,4,9.571024963
70,8,30,0,0,2,1,0,0,-1,-1,10,4,9.614339386
70,8.25,0,0,0,2,1,0,0,-1,-1,10,4,9.671623771
70,8.5,0,0,0,2,1,0,0,-1,-1,10,4,9.816009693
70,8.75,0,0,0,2,1,0,0,-1,-1,10,4,10.23212647
70,9,0,0,0,2,1,0,0,-1,-1,10,4,10.86737017
70,9.25,0,0,0,2,1,0,0,-1,-1,10,4,11.61746023
70,9.5,0,0,0,2,1,0,0,-1,-1,10,4,12.41749503
70,9.75,0,0,0,2,1,0,0,-1,-1,10,4,13.19699539
70,10,20,0,0,2,1,0,0,-1,-1,10,4,13.73615133
70,10.25,0,0,0,2,1,0,0,-1,-1,10,4,13.9291324
70,10.5,0,0,0,2,1,0,0,-1,-1,10,4,13.99473301
70,10.75,0,0,0,2,1,0,0,-1,-1,10,4,14.2144508
70,11,0,0,0,2,1,0,0,-1,-1,10,4,14.60639702
70,11.25,0,0,0,2,1,0,0,-1,-1,10,4,15.09105341
70,11.5,0,0,0,2,1,0,0,-1,-1,10,4,15.43884978
70,11.75,0,0,0,2,1,0,0,-1,-1,10,4,15.48385085
70,12,40,0,0,2,1,0,0,-1,-1,10,4,15.29897949
70,12.25,0,0,0,2,1,0,0,-1,-1,10,4,14.9986566
70,12.5,0,0,0,2,1,0,0,-1,-1,10,4,14.71144787
70,12.75,0,0,0,2,1,0,0,-1,-1,10,4,14.6990802
70,13,0,0,0,2,1,0,0,-1,-1,10,4,14.94655898
70,13.25,0,0,0,2,1,0,0,-1,-1,10,4,15.36495359
70,13.5,0,0,0,2,1,0,0,-1,-1,10,4,15.88978085
70,13.75,0,0,0,2,1,0,0,-1,-1,10,4,16.47496063
70,14,10,0,0,2,1,0,0,-1,-1,10,4,17.08804482
70,14.25,0,0,0,2,1,0,0,-1,-1,10,4,17.65468878
70,14.5,0,0,0,2,1,0,0,-1,-1,10,4,17.94241021
70,14.75,0,0,0,2,1,0,0,-1,-1,10,4,17.89216312
70,15,0,0,0,2,1,0,0,-1,-1,10,4,17.61193366
70,15.25,0,0,0,2,1,0,0,-1,-1,10,4,17.18602934
70,15.5,0,0,0,2,1,0,0,-1,-1,10,4,16.67595752
70,15.75,0,0,0,2,1,0,0,-1,-1,10,4,16.12606019
70,16,0,0,0,2,1,0,0,-1,-1,10,4,15.56773752
70,16.25,0,0,0,2,1,0,0,-1,-1,10,4,15.15696715
70,16.5,0,0,0,2,1,0,0,-1,-1,10,4,15.07893871
70,16.75,0,0,0,2,1,0,0,-1,-1,10,4,15.14465689
70,17,0,0,0,2,1,0,0,-1,-1,10,4,15.08792296
70,17.25,0,0,0,2,1,0,0,-1,-1,10,4,14.90574157
70,17.5,0,4,0,2,1,0,0,-1,-1,10,4,14.64611457
70,17.75,0,0,0,2,1,0,0,-1,-1,10,4,14.34374345
70,18,30,0,0,2,1,0,0,-1,-1,10,4,14.01620543
70,18.25,0,0,0,2,1,0,0,-1,-1,10,4,13.674432
70,18.5,0,0,0,2,1,0,0,-1,-1,10,4,13.38802824
70,18.75,0,0,0,2,1,0,0,-1,-1,10,4,13.39991268
70,19,0,0,0,2,1,0,0,-1,-1,10,4,13.67777675
70,19.25,0,0,0,2,1,0,0,-1,-1,10,4,14.12858321
68,0,0,0,0,1,10,1,0,1,1,10,4,15.21142687
68,0.25,0,0,0,1,10,1,0,1,1,10,4,15.21142687
68,0.5,0,0,0,1,10,1,0,1,1,10,4,14.95829989
